year,exporter_code,importer_code,exporter_name,importer_name,hs_section,value,quantity
1995,124,392,Canada,Japan,X - Pulp of wood; paper and paperboard,1443631.273,1879495.309
1995,124,392,Canada,Japan,XI - Textiles and textile articles,30377.659,1162.161
1995,124,392,Canada,Japan,XII - Footwear; headgear; umbrellas,3214.743,106.185
1995,124,392,Canada,Japan,"XIII - Articles of stone, plaster, cement, glass",14386.437,12274.552
1995,124,392,Canada,Japan,XIV - Natural or cultured pearls; precious stones,200358.59100000001,16.21
1995,124,392,Canada,Japan,XIX - Arms and ammunition,96.1,0.461
1995,124,392,Canada,Japan,XV - Base metals and articles of base metal,606779.235,276179.077
1995,124,392,Canada,Japan,XVI - Machinery and electrical equipment,244600.924,7055.161
1995,124,392,Canada,Japan,"XVII - Vehicles, aircraft, vessels",151209.903,10996.375
1995,124,392,Canada,Japan,"XVIII - Optical, medical, measuring instruments",86895.06,448.831
1995,124,392,Canada,Japan,XX - Miscellaneous manufactured articles,116829.136,51878.831000000006
1995,124,410,Canada,Rep. of Korea,I - Live animals; animal products,44237.81,16265.835000000001
1995,124,410,Canada,Rep. of Korea,II - Vegetable products,91592.462,469904.74799999996
1995,124,410,Canada,Rep. of Korea,III - Animal or vegetable fats and oils,10605.173999999999,16514.242000000002
1995,124,410,Canada,Rep. of Korea,IV - Prepared foodstuffs; beverages; tobacco,31089.449,187021.94
1995,124,410,Canada,Rep. of Korea,IX - Wood and articles of wood,49074.613,130033.51800000001
1995,124,410,Canada,Rep. of Korea,V - Mineral products,474870.75499999995,7494056.481
1995,124,410,Canada,Rep. of Korea,VI - Products of the chemical or allied industries,280561.527,812109.5290000001
1995,124,410,Canada,Rep. of Korea,VII - Plastics and rubber,27424.808,11460.682
1995,124,410,Canada,Rep. of Korea,VIII - Raw hides and skins; leather; travel goods,46940.112,7242.499
1995,124,410,Canada,Rep. of Korea,X - Pulp of wood; paper and paperboard,576743.072,796956.553
1995,124,410,Canada,Rep. of Korea,XI - Textiles and textile articles,33692.679000000004,4297.763
1995,124,410,Canada,Rep. of Korea,XII - Footwear; headgear; umbrellas,296.657,2.838
